[Name]
Series 1 at /LINE:Line 1

[Data]
X [ m ],Velocity [ m s^-1 ]
2.14074925e-01, 2.31735496e-04
2.14415267e-01, 2.32181381e-04
2.14755610e-01, 2.32630744e-04
2.15095952e-01, 2.33080136e-04
2.15436295e-01, 2.33529514e-04
2.15776637e-01, 2.33978950e-04
2.16116980e-01, 2.34428371e-04
2.16457322e-01, 2.34877749e-04
2.16797665e-01, 2.35327141e-04
2.17138007e-01, 2.35776592e-04
2.17478350e-01, 2.36074047e-04
2.17818692e-01, 2.36336986e-04
2.18159035e-01, 2.36599910e-04
2.18499377e-01, 2.36862848e-04
2.18839720e-01, 2.37125772e-04
2.19180062e-01, 2.37388711e-04
2.19520405e-01, 2.37651635e-04
2.19860747e-01, 2.37914588e-04
2.20201090e-01, 2.38177541e-04
2.20541432e-01, 2.38446897e-04
2.20881775e-01, 2.38828929e-04
2.21222118e-01, 2.39210989e-04
2.21562460e-01, 2.39593006e-04
2.21902803e-01, 2.39975081e-04
2.22243145e-01, 2.40357098e-04
2.22583488e-01, 2.40739188e-04
2.22923830e-01, 2.41121234e-04
2.23264173e-01, 2.41503309e-04
2.23604515e-01, 2.41885369e-04
2.23944858e-01, 2.42267430e-04
2.24285200e-01, 2.42649490e-04
2.24625543e-01, 2.43031580e-04
2.24965885e-01, 2.43413655e-04
2.25306228e-01, 2.43795730e-04
2.25646570e-01, 2.44177820e-04
2.25986913e-01, 2.44559924e-04
2.26327255e-01, 2.44941999e-04
2.26667598e-01, 2.45324132e-04
2.27007940e-01, 2.45706236e-04
2.27348283e-01, 2.46088370e-04
2.27688625e-01, 2.46470445e-04
2.28028968e-01, 2.46852549e-04
2.28369310e-01, 2.47234682e-04
2.28709653e-01, 2.47616787e-04
2.29049996e-01, 2.47998891e-04
2.29390338e-01, 2.48191296e-04
2.29730681e-01, 2.48373952e-04
2.30071023e-01, 2.48556637e-04
2.30411366e-01, 2.48739321e-04
2.30751708e-01, 2.48922006e-04
2.31092051e-01, 2.49104691e-04
2.31432393e-01, 2.49287434e-04
2.31772736e-01, 2.49470089e-04
2.32113078e-01, 2.49652832e-04
2.32453421e-01, 2.49835488e-04
2.32793763e-01, 2.50018202e-04
2.33134106e-01, 2.50200916e-04
2.33474448e-01, 2.50383629e-04
2.33814791e-01, 2.50566314e-04
2.34155133e-01, 2.50749028e-04
2.34495476e-01, 2.50931800e-04
2.34835818e-01, 2.51114485e-04
2.35176161e-01, 2.51297228e-04
2.35516503e-01, 2.51514226e-04
2.35856846e-01, 2.51748512e-04
2.36197188e-01, 2.51982827e-04
2.36537531e-01, 2.52217142e-04
2.36877874e-01, 2.52451428e-04
2.37218216e-01, 2.52685772e-04
2.37558559e-01, 2.52920057e-04
2.37898901e-01, 2.53154401e-04
2.38239244e-01, 2.53388716e-04
2.38579586e-01, 2.53623031e-04
2.38919929e-01, 2.53857375e-04
2.39260271e-01, 2.54091719e-04
2.39600614e-01, 2.54326063e-04
2.39940956e-01, 2.54560378e-04
2.40281299e-01, 2.54794781e-04
2.40621641e-01, 2.55029125e-04
2.40961984e-01, 2.55263469e-04
2.41302326e-01, 2.55497842e-04
2.41642669e-01, 2.55732157e-04
2.41983011e-01, 2.55966559e-04
2.42323354e-01, 2.56200874e-04
2.42663696e-01, 2.56435305e-04
2.43004039e-01, 2.56637752e-04
2.43344381e-01, 2.56828032e-04
2.43684724e-01, 2.57018401e-04
2.44025066e-01, 2.57208681e-04
2.44365409e-01, 2.57399020e-04
2.44705752e-01, 2.57589301e-04
2.45046094e-01, 2.57779669e-04
2.45386437e-01, 2.57969950e-04
2.45726779e-01, 2.58160260e-04
2.46067122e-01, 2.58350628e-04
2.46407464e-01, 2.58540938e-04
2.46747807e-01, 2.58731219e-04
2.47088149e-01, 2.58921558e-04
2.47428492e-01, 2.59111897e-04
2.47768834e-01, 2.59302207e-04
2.48109177e-01, 2.59492546e-04
2.48449519e-01, 2.59682856e-04
2.48789862e-01, 2.59873166e-04
2.49130204e-01, 2.60063505e-04
2.49470547e-01, 2.60253786e-04
2.49810889e-01, 2.60444125e-04
2.50151217e-01, 2.60634435e-04
2.50491560e-01, 2.60824803e-04
2.50831902e-01, 2.61015113e-04
2.51172245e-01, 2.61205423e-04
2.51512587e-01, 2.61395733e-04
2.51852930e-01, 2.61586043e-04
2.52193272e-01, 2.61776353e-04
2.52533615e-01, 2.61966692e-04
2.52873957e-01, 2.62157031e-04
2.53214300e-01, 2.62347341e-04
2.53554642e-01, 2.62537622e-04
2.53894985e-01, 2.62727961e-04
2.54235327e-01, 2.62918300e-04
2.54575670e-01, 2.63074849e-04
